cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       262, 7.000000216E-03,-3.892588662E-03,-4.139324185E-03,-4.037732124E+00
       263, 7.000000216E-03,-3.904745448E-03,-4.129283130E-03,-4.786868572E+00
       264, 7.000000216E-03,-3.919333685E-03,-4.117233213E-03,-5.345116138E+00
       265, 7.000000216E-03,-3.847407876E-03,-4.114805721E-03,-1.151929736E+00
       266, 7.000000216E-03,-3.856926225E-03,-4.109357949E-03,-2.935883760E+00
       267, 7.000000216E-03,-3.868348431E-03,-4.102820996E-03,-4.030313015E+00
       268, 7.000000216E-03,-3.882054705E-03,-4.094976466E-03,-4.778908730E+00
       269, 7.000000216E-03,-3.898502560E-03,-4.085563123E-03,-5.339282990E+00
       270, 7.000000216E-03,-3.829172812E-03,-4.071198404E-03,-1.098122120E+00
       271, 7.000000216E-03,-3.839635290E-03,-4.068946466E-03,-2.880339861E+00
       272, 7.000000216E-03,-3.852190683E-03,-4.066244233E-03,-3.986102104E+00
       273, 7.000000216E-03,-3.867256921E-03,-4.063001368E-03,-4.730135441E+00
       274, 7.000000216E-03,-3.885336686E-03,-4.059110302E-03,-5.283637047E+00
       275, 7.000000216E-03,-3.819833277E-03,-4.025011323E-03,-1.122131228E+00
       276, 7.000000216E-03,-3.830682253E-03,-4.026386887E-03,-2.888631344E+00
       277, 7.000000216E-03,-3.843700979E-03,-4.028037656E-03,-3.981428385E+00
       278, 7.000000216E-03,-3.859323682E-03,-4.030018114E-03,-4.719673157E+00
       279, 7.000000216E-03,-3.878070740E-03,-4.032394849E-03,-5.271059036E+00
       280, 7.000000216E-03,-3.819763660E-03,-3.976776265E-03,-1.173748732E+00
       281, 7.000000216E-03,-3.830459435E-03,-3.979333676E-03,-2.935245275E+00
       282, 7.000000216E-03,-3.843294224E-03,-3.982402850E-03,-3.993810415E+00
       283, 7.000000216E-03,-3.858696204E-03,-3.986085299E-03,-4.718578339E+00
       284, 7.000000216E-03,-3.877178533E-03,-3.990504425E-03,-5.266905785E+00
       285, 7.000000216E-03,-3.961524926E-03,-4.125453532E-03,-5.805294991E+00
       286, 7.000000216E-03,-3.940940835E-03,-4.103257321E-03,-5.824980259E+00
       287, 7.000000216E-03,-3.923088312E-03,-4.076987505E-03,-5.832125664E+00
       288, 7.000000216E-03,-3.829153255E-03,-3.929327242E-03,-1.169605255E+00
       289, 7.000000216E-03,-3.839574289E-03,-3.932735417E-03,-2.942954779E+00
       290, 7.000000216E-03,-3.852079157E-03,-3.936824854E-03,-3.990403891E+00
       291, 7.000000216E-03,-3.867084859E-03,-3.941731993E-03,-4.701000214E+00
       292, 7.000000216E-03,-3.910621628E-03,-4.056333099E-03,-5.798531055E+00
       293, 7.000000216E-03,-3.907242324E-03,-4.032689147E-03,-5.824047565E+00
       294, 7.000000216E-03,-3.907606006E-03,-3.993655555E-03,-5.843198776E+00
       295, 7.000000216E-03,-3.941197880E-03,-4.061214160E-03,-6.149376392E+00
       296, 7.000000216E-03,-3.944426309E-03,-4.032992292E-03,-6.244812965E+00
       297, 7.000000216E-03,-3.977662884E-03,-4.069558810E-03,-6.345044136E+00
       298, 7.000000216E-03,-3.972165752E-03,-4.100781865E-03,-6.140229702E+00
       299, 7.000000216E-03,-3.874015529E-03,-6.154665258E-03,-1.175005794E+00
       300, 7.000000216E-03,-3.882457735E-03,-6.147691980E-03,-3.010398626E+00
       301, 7.000000216E-03,-3.892588662E-03,-6.139324047E-03,-4.155931950E+00
       302, 7.000000216E-03,-3.904745448E-03,-6.129282527E-03,-4.948895454E+00
       303, 7.000000216E-03,-3.919333685E-03,-6.117233075E-03,-5.546779633E+00
       304, 7.000000216E-03,-3.907931503E-03,-6.188552827E-03,-1.191670895E+00
       305, 7.000000216E-03,-3.915116191E-03,-6.180261262E-03,-3.051605940E+00
       306, 7.000000216E-03,-3.923737444E-03,-6.170311477E-03,-4.206610680E+00
       307, 7.000000216E-03,-3.934083041E-03,-6.158371922E-03,-5.005342484E+00
       308, 7.000000216E-03,-3.946498036E-03,-6.144043058E-03,-5.610930443E+00
       309, 7.000000216E-03,-3.961628303E-03,-6.124955136E-03,-6.099866867E+00
       310, 7.000000216E-03,-4.087002017E-03,-6.242600735E-03,-1.258859396E+00
       311, 7.000000216E-03,-4.087255802E-03,-6.231606472E-03,-3.154705524E+00
       312, 7.000000216E-03,-4.087560810E-03,-6.218412891E-03,-4.322343826E+00
       313, 7.000000216E-03,-4.087925889E-03,-6.202581339E-03,-5.122087955E+00
       314, 7.000000216E-03,-4.088365007E-03,-6.183583289E-03,-5.707408428E+00
       315, 7.000000216E-03,-4.038766492E-03,-6.242670584E-03,-1.243399382E+00
       316, 7.000000216E-03,-4.040202592E-03,-6.231829524E-03,-3.154376745E+00
       317, 7.000000216E-03,-4.041925538E-03,-6.218819413E-03,-4.318990707E+00
       318, 7.000000216E-03,-4.043993540E-03,-6.203208119E-03,-5.115549564E+00
       319, 7.000000216E-03,-4.046474583E-03,-6.184475031E-03,-5.696457863E+00
       320, 7.000000216E-03,-3.991343081E-03,-6.233200431E-03,-1.217635155E+00
       321, 7.000000216E-03,-3.993684892E-03,-6.222457625E-03,-3.081466675E+00
